rank,title,src,cover,up,PageViews,comments
73,祝大家好运,https://www.bilibili.com/video/BV1rQ4y187mN,https://i2.hdslb.com/bfs/archive/f5f4a6be59e7c9eb73ac2617952b58c42d54d630.jpg@412w_232h_1c_!web-popular.avif,野路子梗画师,77.1万,656
74,带你去山西看穿越千年的日出，vivo X100系列挑战长长长长长焦拍太阳,https://www.bilibili.com/video/BV1Eu411F7qQ,https://i2.hdslb.com/bfs/archive/c4b294fb62693773434f1e02db505405ad16fb0b.jpg@412w_232h_1c_!web-popular.avif,vivo,264.6万,1666
75,玩个别的 瞎看吧,https://www.bilibili.com/video/BV1wC4y1m7t8,https://i1.hdslb.com/bfs/archive/6a48552e9555d5f9e5492186e2bb167402a22010.jpg@412w_232h_1c_!web-popular.avif,派小轩,142.8万,329
76,《把 头 埋 低》,https://www.bilibili.com/video/BV1Bw411N7Em,https://i0.hdslb.com/bfs/archive/0ebc47cda4d2c993f5b296cf57e0c663cbcb54a2.jpg@412w_232h_1c_!web-popular.avif,聒噪的山海君,86.5万,1883
77,测评一家生意好到爆的面馆，看看究竟有什么猫腻,https://www.bilibili.com/video/BV1yN411M7me,https://i2.hdslb.com/bfs/archive/ccec3ab11d04ce87e46a1b92b259cf450dff9df1.jpg@412w_232h_1c_!web-popular.avif,解密厨房二十年,186.1万,600
78,全球天然钻石价格大跌，河南：bai慌！【主播说三农】,https://www.bilibili.com/video/BV16u4y1A7r7,https://i1.hdslb.com/bfs/archive/f11a79d7aad224dca19abd192fb2861b584ccf3a.jpg@412w_232h_1c_!web-popular.avif,央视农业,69.2万,5282
79,狗狗绝育后，骂宠物医生3年，这事居然反转了！,https://www.bilibili.com/video/BV1P94y1G79C,https://i2.hdslb.com/bfs/archive/61d2be4a3a61f89e777dbc0d69f0f7481103a9dd.jpg@412w_232h_1c_!web-popular.avif,萌宠指南,129.1万,800
80,大师，你的定力呢？？？,https://www.bilibili.com/video/BV1Sc411X7fp,https://i1.hdslb.com/bfs/archive/3b5dbec2d5d8bccb5fbcae57e378186fb28de2f2.jpg@412w_232h_1c_!web-popular.avif,碧天蓝钻,181.7万,378
81,“快看 低温下的冰冻泡泡有多美~ ”,https://www.bilibili.com/video/BV1AC4y1j7mK,https://i1.hdslb.com/bfs/archive/82caf4b5237d16c768903327d91d4063bc912c3e.jpg@412w_232h_1c_!web-popular.avif,唯美风景线,68万,278
82,2000买一条可遇不可求的蛇鳝，出锅后越吃越生气，翻大车了,https://www.bilibili.com/video/BV17C4y1j7J4,https://i2.hdslb.com/bfs/archive/72abb12a6f3f25fba7a15c65364e1123f40b9b07.jpg@412w_232h_1c_!web-popular.avif,小文哥吃吃吃,100.5万,2428
83,一个“落榜美术生的十年” 《我的奋斗》？【进步史】,https://www.bilibili.com/video/BV16N4y1D7jU,https://i2.hdslb.com/bfs/archive/ec55407267a18eff56f789019c2192c58d7cb543.jpg@412w_232h_1c_!web-popular.avif,插画师Leo,56万,475
84,兰陵王：隐着身给我腰子踹掉了,https://www.bilibili.com/video/BV1Ub4y1g7TE,https://i0.hdslb.com/bfs/archive/d79ffdae0087896dec33ed713f455dbf23cbde4e.jpg@412w_232h_1c_!web-popular.avif,尴尬的铁根er,113.3万,1321
85,王老菊教你吸精枪法,https://www.bilibili.com/video/BV11v411F7TM,https://i0.hdslb.com/bfs/archive/8e9aee04176700b946b97bbc47da8fa1138fc3ce.jpg@412w_232h_1c_!web-popular.avif,怕上火暴王老菊,52.3万,4554
86,阎王：支付成功,https://www.bilibili.com/video/BV1AC4y1E7Wh,https://i0.hdslb.com/bfs/archive/8db808e56139cad52cbaaa6c513ef23937b12594.jpg@412w_232h_1c_!web-popular.avif,憨憨问号,128.3万,282
87,《明日方舟》危机合约新赛季「浊燃作战」宣传PV,https://www.bilibili.com/video/BV12a4y1S7MR,https://i0.hdslb.com/bfs/archive/0b2ec6b6f4670e01aead35c70451f623d2e1d894.png@412w_232h_1c_!web-popular.avif,明日方舟,78万,2575
88,没有人指望 W B G 能战胜过 T1！,https://www.bilibili.com/video/BV1zH4y1B76J,https://i1.hdslb.com/bfs/archive/e6817a5ee400c206e8654d3be458bee5b22f768f.jpg@412w_232h_1c_!web-popular.avif,剪杰的牛奶君,142.2万,2783
89,一个关于等待的浪漫故事，每一页都是精致的纸雕作品，每一个孩子都值得珍藏一本,https://www.bilibili.com/video/BV1AC4y1m7cB,https://i0.hdslb.com/bfs/archive/4b272a343977bf1dda2068e7f8a6a7f9fcd7ab04.jpg@412w_232h_1c_!web-popular.avif,到车请故意,90.3万,166
90,挑战美国最辣炸鸡！居然直接辣吐了！,https://www.bilibili.com/video/BV1pN411u7WT,https://i0.hdslb.com/bfs/archive/c3dd8885b8d4548a69e791226e5bf23ffb0b1e14.jpg@412w_232h_1c_!web-popular.avif,中国BOY超级大猩猩,64.2万,3755
